,Revision,LaunchDate
0,G1,2021-03-04
1,L5,2020-03-18
2,G5,2023-02-02
3,G1,2019-05-24
4,G4,2022-01-06
5,L9,2020-08-07
6,G4,2022-07-07
7,G5,2023-03-29
8,G5,2022-12-28
9,G1,2021-01-20
10,G4,2022-02-21
11,L2,2021-05-26
12,G4,2022-05-14
13,G4,2022-12-17
14,L2,2020-01-07
15,G4,2021-11-13
16,G2,2023-02-17
17,G3,2022-08-12
18,G4,2022-05-13
19,G1,2020-10-24
20,G4,2022-03-03
21,G4,2022-04-29
22,G1,2020-10-18
23,G3,2022-07-22
24,G4,2022-02-25
25,G4,2021-12-02
26,L2,2021-03-11
27,R1,2021-06-30
28,G4,2022-09-05
29,G3,2023-04-27
30,L2,2021-05-09
31,G6,2023-04-19
32,L4,2020-02-17
33,G4,2022-03-19
34,G5,2023-01-26
35,L8,2020-06-13
36,G4,2022-04-21
37,G4,2022-05-06
38,G2,2023-01-19
39,R1,2021-01-24
40,G4,2022-09-11
41,G1,2021-02-04
42,G4,2022-07-24
43,G4,2022-08-10
44,G4,2022-01-19
45,G4,2022-10-20
46,L2,2021-04-29
47,G4,2022-10-28
48,L6,2020-04-22
49,G4,2022-08-28
50,G2,2023-01-31
51,G4,2022-08-19
52,L3,2020-01-29
53,G2,2023-03-17
54,G1,2020-10-06
55,G4,2022-07-17
56,L2,2021-05-04
57,G4,2022-02-03
58,G1,2019-11-11
59,G1,2021-02-16
60,L7,2020-06-04
61,G4,2022-05-18
62,L2,2021-03-24
63,G5,2023-02-12
64,G4,2022-06-17
65,G6,2023-02-27
66,G4,2022-09-19
67,L2,2021-04-07
68,G3,2022-08-31
69,G3,2022-07-11
70,G5,2023-03-24
71,G2,2021-09-14
72,G2,2023-03-03
73,L2,2021-05-15
74,L2,2021-03-14
75,G1,2020-11-24
76,G4,2022-09-24
77,G4,2022-03-09
78,G1,2020-08-18
79,G1,2020-09-03
80,G4,2021-12-18
81,G4,2022-10-05
